,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,install_clean,size_kb
4849,Dragon X Adventure: Warrior Z,GAME,4.3,8537,29.0,"100,000+",Free,0.0,Everyone 10+,Action,2015-11-03,1,2.3 and up,100000,False
4850,Ultimate Fighter Z,GAME,4.3,180,24.0,"5,000+",Free,0.0,Everyone,Action,2018-07-16,2,4.4 and up,5000,False
4851,Theme eXp - Black Z Light,PERSONALIZATION,4.3,29540,4.3,"1,000,000+",Free,0.0,Everyone,Personalization,2016-06-15,2,5.0 and up,1000000,False
4852,Toy Battle Z,FAMILY,4.1,133,48.0,"10,000+",Free,0.0,Everyone,Casual,2018-07-23,1,4.0 and up,10000,False
4853,Wave Z Live Wallpaper,PERSONALIZATION,4.2,63699,2.3,"5,000,000+",Free,0.0,Teen,Personalization,2015-09-21,1,2.3 and up,5000000,False
4854,Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272172,13.0,"10,000,000+",Free,0.0,Everyone,Health & Fitness,2018-06-21,1,4.2 and up,10000000,False
4855,30 Day Ab Challenge,HEALTH_AND_FITNESS,4.5,1886,7.6,"500,000+",Free,0.0,Everyone,Health & Fitness,2016-06-21,3,4.0 and up,500000,False
4856,Angry Birds Blast,FAMILY,4.6,253115,99.0,"10,000,000+",Free,0.0,Everyone,Puzzle,2018-07-27,1,4.4 and up,10000000,False
4857,ab,FAMILY,3.8,10,22.0,"1,000+",Free,0.0,Everyone,Casual,2016-10-27,1,4.0 and up,1000,False
4858,Ultimate Ab & Core Workouts,HEALTH_AND_FITNESS,4.7,55571,12.0,"1,000,000+",Free,0.0,Everyone,Health & Fitness,2018-02-21,1,4.0 and up,1000000,False
4859,Angry Birds Evolution,FAMILY,4.5,384602,88.0,"10,000,000+",Free,0.0,Everyone,Role Playing,2018-07-30,1,5.0 and up,10000000,False
4860,Angry Birds Match,FAMILY,4.7,227401,91.0,"5,000,000+",Free,0.0,Everyone,Puzzle,2018-07-19,1,5.0 and up,5000000,False
4861,Angry Birds POP Bubble Shooter,FAMILY,4.5,596628,99.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-08-02,3,4.1 and up,10000000,False
4862,Abs Workout - Burn Belly Fat with No Equipment,HEALTH_AND_FITNESS,4.8,69279,10.0,"10,000,000+",Free,0.0,Everyone,Health & Fitness,2018-07-23,1,4.2 and up,10000000,False
4864,Angry Birds 2,FAMILY,4.6,3881752,57.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-26,2,4.1 and up,100000000,False
4865,AB Repeat Player,VIDEO_PLAYERS,4.3,1628,18.0,"100,000+",Free,0.0,Everyone,Video Players & Editors,2018-03-06,4,4.4 and up,100000,False
4866,"Abs, Core & Back Workout Challenge",HEALTH_AND_FITNESS,4.8,3908,33.0,"100,000+",Free,0.0,Everyone,Health & Fitness,2018-07-09,1,4.1 and up,100000,False
4867,AB Mobile App,HEALTH_AND_FITNESS,3.4,2105,8.2,"100,000+",Free,0.0,Everyone,Health & Fitness,2017-08-21,2,4.0.3 and up,100000,False
4869,Angry Birds Rio,GAME,4.4,2610328,46.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-07-03,2,4.1 and up,100000000,False
4870,Angry Birds Epic RPG,FAMILY,4.5,2634605,63.0,"10,000,000+",Free,0.0,Everyone,Role Playing,2018-07-18,3,4.4 and up,10000000,False
4871,A-B repeater,VIDEO_PLAYERS,4.4,32,0.239,"5,000+",Free,0.0,Everyone,Video Players & Editors,2018-05-18,1,3.0 and up,5000,True
4874,Angry Birds Friends,GAME,4.2,829753,48.0,"50,000,000+",Free,0.0,Everyone,Arcade,2018-06-19,4,4.1 and up,50000000,False
4876,AB Blast Match 3,FAMILY,4.3,111,48.0,"10,000+",Free,0.0,Everyone,Puzzle,2018-06-19,1,4.1 and up,10000,False
4877,AB Click2Shop,SHOPPING,3.8,454,18.0,"100,000+",Free,0.0,Everyone,Shopping,2018-06-26,1,4.1 and up,100000,False
4878,Math games for kids : times tables - AB Math,FAMILY,3.9,2371,8.3,"500,000+",Free,0.0,Everyone,Educational;Education,2018-07-27,3,4.0.3 and up,500000,False
4879,AB Crush Match 3,FAMILY,4.3,96,54.0,"10,000+",Free,0.0,Everyone,Casual,2017-02-23,1,2.3 and up,10000,False
4881,AB Match,FAMILY,4.2,9,30.0,"1,000+",Free,0.0,Everyone,Casual,2018-05-19,1,4.1 and up,1000,False
4882,Math games for kids : times tables training,FAMILY,4.5,630,8.3,"10,000+",Paid,1.59,Everyone,Educational;Education,2018-07-27,3,4.0.3 and up,10000,False
4883,7 minute abs workout - Daily Ab Workout,HEALTH_AND_FITNESS,4.8,527,23.0,"100,000+",Free,0.0,Everyone,Health & Fitness,2018-03-30,2,4.1 and up,100000,False
4885,5 Minute Ab Workouts,HEALTH_AND_FITNESS,4.6,2067,8.4,"50,000+",Free,0.0,Everyone,Health & Fitness,2018-05-18,2,4.1 and up,50000,False
4886,Angry Birds Go!,GAME,4.2,3846378,82.0,"50,000,000+",Free,0.0,Everyone,Racing,2018-05-30,2,4.1 and up,50000000,False
4887,AB Screen Recorder,TOOLS,4.2,533,5.0,"10,000+",Free,0.0,Everyone,Tools,2017-10-02,2,5.0 and up,10000,False
4888,Six Pack Abs Photo Editor,PHOTOGRAPHY,4.0,5967,17.0,"1,000,000+",Free,0.0,Everyone,Photography,2017-02-02,2,3.0 and up,1000000,False
4890,Angry Birds Star Wars,GAME,4.3,1218055,45.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-05-25,1,4.1 and up,100000000,False
4891,30 Day AB Challenge - Lumowell,HEALTH_AND_FITNESS,4.8,793,40.0,"10,000+",Free,0.0,Everyone,Health & Fitness,2016-09-15,1,4.0.3 and up,10000,False
4892,Ab Workouts,HEALTH_AND_FITNESS,4.1,27501,7.0,"1,000,000+",Free,0.0,Everyone,Health & Fitness,2018-01-05,5,4.0 and up,1000000,False
4893,Ab Workouts - Ab Generator,HEALTH_AND_FITNESS,4.7,21,3.8,"1,000+",Free,0.0,Everyone,Health & Fitness,2016-12-31,2,4.1 and up,1000,False
4895,Abs workout - 21 Day Fitness Challenge,HEALTH_AND_FITNESS,4.8,18604,15.0,"1,000,000+",Free,0.0,Everyone,Health & Fitness,2018-05-02,1,4.1 and up,1000000,False
4896,Ladies' Ab Workout FREE,HEALTH_AND_FITNESS,4.0,12906,8.5,"1,000,000+",Free,0.0,Everyone,Health & Fitness,2012-10-08,1,2.1 and up,1000000,False
4897,30-Day Ab Challenge Tracker,HEALTH_AND_FITNESS,3.5,224,0.371,"10,000+",Free,0.0,Everyone,Health & Fitness,2014-07-09,1,4.1 and up,10000,True
4898,Universal AC Remote Control,TOOLS,3.8,40934,5.2,"1,000,000+",Free,0.0,Everyone,Tools,2018-07-28,acremotecontrol18,4.0.3 and up,1000000,False
4900,Smart Air Conditioner,TOOLS,3.3,4786,13.0,"500,000+",Free,0.0,Everyone,Tools,2018-05-24,1,2.2 and up,500000,False
4901,Assassin's Creed Identity,GAME,3.7,42529,92.0,"500,000+",Paid,1.99,Teen,Action,2016-11-23,2,4.1 and up,500000,False
4902,AC Remote Control,TOOLS,3.3,472,2.0,"100,000+",Free,0.0,Everyone,Tools,2017-10-17,1,4.1 and up,100000,False
4903,Air conditioner remote control,TOOLS,3.4,29854,5.0,"1,000,000+",Free,0.0,Everyone,Tools,2017-07-19,5,2.3 and up,1000000,False
4904,Smart-AC Universal Remote Free,FAMILY,1.8,3270,1.8,"500,000+",Free,0.0,Everyone,Entertainment,2015-08-18,1,2.2 and up,500000,False
4905,AC REMOTE UNIVERSAL-PRO,FAMILY,1.6,402,1.7,"100,000+",Free,0.0,Everyone,Entertainment,2015-12-11,1,2.2 and up,100000,False
4906,Kenmore Smart AC,LIFESTYLE,1.9,71,24.0,"5,000+",Free,0.0,Everyone,Lifestyle,2017-05-08,1,4.4 and up,5000,False
4907,AC WIFI,TOOLS,3.6,41,23.0,"10,000+",Free,0.0,Everyone,Tools,2018-06-03,1,2.3 and up,10000,False
4908,A/C Air Conditioner Remote,TOOLS,3.4,7816,5.1,"1,000,000+",Free,0.0,Everyone,Tools,2016-07-30,1,3.0 and up,1000000,False
4909,Smart Air Conditioner(CAC),TOOLS,3.2,409,7.9,"50,000+",Free,0.0,Everyone,Tools,2018-05-25,1,2.2 and up,50000,False
4910,Carrier Air Conditioner,TOOLS,2.5,362,7.8,"100,000+",Free,0.0,Everyone,Tools,2018-01-15,v67_slk3,4.0 and up,100000,False
4911,AC Troubleshooter,TOOLS,4.7,147,4.2,"10,000+",Free,0.0,Everyone,Tools,2015-01-08,1,3.0 and up,10000,False
4912,TOSHIBA Smart AC,TOOLS,2.6,60,18.0,"10,000+",Free,0.0,Everyone,Tools,2018-08-04,2,4.0.3 and up,10000,False
4913,Trane Interactive Smart AC,TOOLS,2.8,48,3.3,"10,000+",Free,0.0,Everyone,Tools,2016-04-21,0,4.3 and up,10000,False
4914,AC remote control mobile,TOOLS,3.9,3043,7.7,"100,000+",Free,0.0,Everyone,Tools,2017-06-02,1,4.0.3 and up,100000,False
4915,"AC Air condition Troubleshoot,Repair,Maintenance",BOOKS_AND_REFERENCE,4.2,27,3.1,"5,000+",Free,0.0,Everyone,Books & Reference,2018-02-07,1,4.0 and up,5000,False
4916,AC Remote for Haier - NOW FREE,TOOLS,3.9,336,27.0,"50,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,50000,False
4917,Air Conditioner Maintenance,PRODUCTIVITY,4.0,11,0.22,"5,000+",Free,0.0,Everyone,Productivity,2015-11-27,airConditionerMaintenance_13112015,2.3.3 and up,5000,True
4918,AC Remote for Daikin - NOW FREE,TOOLS,3.5,383,26.0,"50,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,50000,False
4919,A/C Universal Remote Control,TOOLS,3.1,3263,3.0,"1,000,000+",Free,0.0,Everyone,Tools,2017-05-16,1,3.0 and up,1000000,False
4920,AC Remote for LG - NOW FREE,TOOLS,3.7,1041,28.0,"100,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,100000,False
4921,Plug-in app (System AC),TOOLS,3.6,126,11.0,"10,000+",Free,0.0,Everyone,Tools,2017-06-08,v1,4.0 and up,10000,False
4922,LG AC Smart Diagnosis,LIFESTYLE,3.4,377,6.1,"100,000+",Free,0.0,Everyone,Lifestyle,2017-03-21,1,4.0 and up,100000,False
4923,AC Remote for Midea - NOW FREE,TOOLS,4.0,448,26.0,"100,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,100000,False
4924,Ac remote control,TOOLS,3.7,822,5.0,"50,000+",Free,0.0,Everyone,Tools,2017-02-27,1,2.3 and up,50000,False
4925,A/C REFRIGERANT CAPACITY,BUSINESS,1.7,84,2.1,"10,000+",Free,0.0,Everyone,Business,2014-10-28,1,4.1 and up,10000,False
4926,Remote Control For All AC - Universal Remote,PRODUCTIVITY,2.4,166,6.1,"10,000+",Free,0.0,Everyone,Productivity,2018-07-28,1,4.0.3 and up,10000,False
4927,All Type Ac Repair & Services,LIFESTYLE,4.3,45,2.2,"10,000+",Free,0.0,Everyone,Lifestyle,2017-12-26,0,4.1 and up,10000,False
4928,AC - Tips & News for Android™,NEWS_AND_MAGAZINES,4.2,23291,14.0,"1,000,000+",Free,0.0,Everyone 10+,News & Magazines,2018-05-24,3,4.1 and up,1000000,False
4929,AC Remote Control Simulator,FAMILY,3.3,353,2.3,"100,000+",Free,0.0,Everyone,Entertainment,2017-12-04,1,4.0.3 and up,100000,False
4930,"Mi Remote controller - for TV, STB, AC and more",TOOLS,4.1,114340,28.0,"10,000,000+",Free,0.0,Everyone,Tools,2018-08-01,5,4.2 and up,10000000,False
4931,AcDisplay,PERSONALIZATION,4.1,66473,3.0,"1,000,000+",Free,0.0,Everyone,Personalization,2015-07-30,3,4.1 and up,1000000,False
4932,AC Mobile Control,HOUSE_AND_HOME,3.4,1450,9.7,"100,000+",Free,0.0,Everyone,House & Home,2013-11-05,2,2.2 and up,100000,False
4933,AC Remote For LG,TOOLS,3.0,1298,3.4,"100,000+",Free,0.0,Everyone,Tools,2018-02-20,1,4.0 and up,100000,False
4934,Universal AC Remote Control Simulator,FAMILY,3.0,119,3.9,"50,000+",Free,0.0,Everyone,Entertainment,2017-12-22,1,4.0 and up,50000,False
4935,Hi-Smart AC,TOOLS,2.2,32,9.4,"1,000+",Free,0.0,Everyone,Tools,2018-04-03,1,4.4 and up,1000,False
4936,AC Remote for Sharp - NOW FREE,TOOLS,3.7,332,26.0,"50,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,50000,False
4937,AC Remote for Samsung - NOW FREE,TOOLS,3.7,566,27.0,"100,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,100000,False
4938,Pocket AC,PHOTOGRAPHY,4.8,130,4.4,"1,000+",Paid,9.99,Everyone,Photography,2018-06-27,3,4.1 and up,1000,False
4939,AC Remote for Carrier - NOW FREE,TOOLS,3.7,163,26.0,"10,000+",Free,0.0,Everyone,Tools,2018-07-30,6,4.2 and up,10000,False
4940,"AC & TV, DVD, Set Top Box - Remote control IR",TOOLS,3.6,3632,3.2,"1,000,000+",Free,0.0,Everyone,Tools,2017-11-13,11;11,4.0.3 and up,1000000,False
4941,ac remote control,TOOLS,3.7,9514,7.0,"500,000+",Free,0.0,Everyone,Tools,2018-07-11,acremotecontrol-v7,4.0.3 and up,500000,False
4943,Ad Detect Plugin - Handy Tool,PRODUCTIVITY,3.8,5107,1.4,"500,000+",Free,0.0,Everyone,Productivity,2015-12-28,1,2.3 and up,500000,False
4944,AppBrain Ad Detector,TOOLS,3.7,9221,1.7,"1,000,000+",Free,0.0,Everyone,Tools,2018-04-12,2,4.1 and up,1000000,False
4947,AdClear Ad blocker for Samsung,TOOLS,4.2,1586,1.5,"500,000+",Free,0.0,Everyone,Tools,2017-09-07,1,5.0 and up,500000,False
4948,Adblock Browser for Android,COMMUNICATION,4.1,121113,39.0,"10,000,000+",Free,0.0,Everyone,Communication,2018-07-11,1,4.1 and up,10000000,False
4949,"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2265084,6.1,"50,000,000+",Free,0.0,Everyone,Communication,2018-07-31,5,4.0 and up,50000000,False
4950,Adguard Content Blocker,TOOLS,4.1,14491,4.3,"1,000,000+",Free,0.0,Everyone,Tools,2018-02-26,2,Varies with device,1000000,False
4952,cronometer (ad free),HEALTH_AND_FITNESS,3.9,1075,8.3,"50,000+",Paid,2.99,Everyone,Health & Fitness,2018-07-13,2,4.4 and up,50000,False
4953,Ad Detector,TOOLS,3.8,208,0.73,"50,000+",Free,0.0,Everyone,Tools,2014-07-28,1,2.3 and up,50000,True
4954,Adblock Plus for Samsung Internet - Browse safe.,COMMUNICATION,4.0,8769,2.1,"1,000,000+",Free,0.0,Everyone,Communication,2018-04-05,1,5.0 and up,1000000,False
4955,MyRadar NOAA Weather Radar Ad Free,WEATHER,4.5,3005,26.0,"10,000+",Paid,2.99,Everyone,Weather,2018-08-04,7,4.0.3 and up,10000,False
4956,Safe Notes - Secure Ad-free notepad,PRODUCTIVITY,4.6,3362,0.756,"50,000+",Free,0.0,Everyone,Productivity,2017-11-21,1,4.0 and up,50000,True
4957,Adblock Fast,PRODUCTIVITY,4.1,9914,3.2,"1,000,000+",Free,0.0,Everyone,Productivity,2017-05-17,1,5.0 and up,1000000,False
4958,FVD Ad-Free,TOOLS,4.4,1774,4.1,"10,000+",Paid,1.99,Everyone,Tools,2017-10-05,4,3.0 and up,10000,False
4959,2000 AD Comics and Judge Dredd,COMICS,3.7,705,20.0,"50,000+",Free,0.0,Teen,Comics,2018-07-19,1,4.0.3 and up,50000,False
4960,Anti Adware,TOOLS,3.9,18751,3.6,"1,000,000+",Free,0.0,Everyone,Tools,2018-06-19,3,4.1 and up,1000000,False
4961,Ad Blocker Turbo - Adblocker Browser,COMMUNICATION,3.9,107,44.0,"10,000+",Free,0.0,Everyone,Communication,2018-01-29,1,4.1 and up,10000,False
4962,Weather & Radar Pro - Ad-Free,WEATHER,4.5,25243,26.0,"100,000+",Paid,2.99,Everyone,Weather,2018-08-01,4,4.4 and up,100000,False
4963,ONScripter Plus (Ad Free),GAME,4.5,100,17.0,"1,000+",Paid,3.99,Everyone,Adventure,2016-04-07,1,4.1 and up,1000,False
4964,Vpn Hosts (ad blocker & no root & support ipv6 ),TOOLS,4.4,319,1.1,"10,000+",Paid,2.99,Everyone,Tools,2018-07-03,2,4.4 and up,10000,False
4965,Google AdSense,PRODUCTIVITY,4.3,52677,2.9,"1,000,000+",Free,0.0,Everyone,Productivity,2017-12-13,3,4.0 and up,1000000,False
4966,Ad-free Triangle Solver,FAMILY,4.5,118,24.0,"10,000+",Free,0.0,Everyone,Education,2015-08-20,6,4.2 and up,10000,False
4967,Ez Screen Recorder (no ad),VIDEO_PLAYERS,4.7,8696,14.0,"100,000+",Free,0.0,Everyone,Video Players & Editors,2018-06-03,2,5.0 and up,100000,False
4968,Best Applock - Locker & No Ads,PRODUCTIVITY,4.7,10672,6.9,"100,000+",Free,0.0,Everyone,Productivity,2018-06-23,2,4.1 and up,100000,False
4969,Local Services ads by Google,BUSINESS,4.1,7,12.0,"1,000+",Free,0.0,Everyone,Business,2018-07-17,3,4.0 and up,1000,False
4970,Ad Block REMOVER - NEED ROOT,TOOLS,3.3,999,0.091,"100,000+",Free,0.0,Everyone,Tools,2013-12-17,3,2.2 and up,100000,True
4971,WhatsFake Pro (Ad free),SOCIAL,4.2,204,9.4,"5,000+",Paid,0.99,Everyone,Social,2017-09-25,1,4.1 and up,5000,False
4972,Photo Compress 2.0 - Ad Free,TOOLS,4.1,6267,1.7,"1,000,000+",Free,0.0,Everyone,Tools,2016-05-07,2,3.2 and up,1000000,False
4973,Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,0.293,100+,Paid,6.49,Everyone,Productivity,2014-05-03,1,2.2 and up,100,True
4975,Solitaire: Decked Out Ad Free,GAME,4.9,37302,35.0,"500,000+",Free,0.0,Everyone,Card,2017-05-08,1,4.1 and up,500000,False
4976,"WeatherClear - Ad-free Weather, Minute forecast",WEATHER,4.5,3252,3.8,"50,000+",Free,0.0,Everyone,Weather,2017-06-25,1,4.1 and up,50000,False
4977,Ad Remove Plugin for App2SD,PRODUCTIVITY,4.1,66,0.017,"1,000+",Paid,1.29,Everyone,Productivity,2013-09-25,1,2.2 and up,1000,True
4978,"Digital Clock : Simple, Tiny, Ad-free Desk Clock.",LIFESTYLE,4.4,317,0.074,"50,000+",Free,0.0,Everyone,Lifestyle,2016-12-21,3,2.3 and up,50000,True
4979,Google Ads,BUSINESS,4.3,29331,20.0,"5,000,000+",Free,0.0,Everyone,Business,2018-07-30,1,4.0.3 and up,5000000,False
4980,RAM Cleanup Ad-Free Option,TOOLS,4.4,457,1.1,"10,000+",Paid,2.99,Everyone,Tools,2016-07-26,3,4.1 and up,10000,False
4981,Emo Ads Blocker Browser,TOOLS,3.4,1555,4.1,"100,000+",Free,0.0,Everyone,Tools,2015-09-17,1,3.0 and up,100000,False
4982,Bing Ads,BUSINESS,4.1,1828,13.0,"100,000+",Free,0.0,Everyone,Business,2018-07-20,2,4.1 and up,100000,False
4984,Apps Ads Detector,TOOLS,3.5,315,8.3,"100,000+",Free,0.0,Everyone,Tools,2018-02-19,25,4.0.3 and up,100000,False
4985,TIMBER AD FILTER - Very useful ad block app,PRODUCTIVITY,3.8,1343,9.0,"100,000+",Free,0.0,Everyone,Productivity,2018-03-12,1,5.0 and up,100000,False
4986,Alchemy Classic Ad Free,FAMILY,4.6,20178,9.0,"100,000+",Free,0.0,Everyone,Puzzle,2014-05-26,1,1.6 and up,100000,False
4988,Easy Hotspot Ad Free,TOOLS,5.0,2,3.3,10+,Paid,0.99,Everyone,Tools,2018-07-26,1,4.0 and up,10,False
4990,"AE + Aerie: Jeans, Dresses, Swimsuits & Bralettes",SHOPPING,4.2,20476,28.0,"1,000,000+",Free,0.0,Everyone,Shopping,2018-07-17,5,4.4 and up,1000000,False
4991,A&E - Watch Full Episodes of TV Shows,FAMILY,4.0,29708,19.0,"1,000,000+",Free,0.0,Teen,Entertainment,2018-07-16,3,4.4 and up,1000000,False
4992,Adobe Premiere Clip,VIDEO_PLAYERS,3.9,39495,59.0,"5,000,000+",Free,0.0,Everyone,Video Players & Editors,2018-06-26,1,4.4 and up,5000000,False
4993,Shortcuts for After Effects,FAMILY,3.7,464,1.9,"50,000+",Free,0.0,Everyone,Education,2014-08-09,1,2.3 and up,50000,False
4994,AE Sudoku,FAMILY,4.3,2171,12.0,"100,000+",Free,0.0,Everyone,Puzzle,2015-07-29,1,2.2 and up,100000,False
4995,ESS Mobile for AE,PRODUCTIVITY,1.9,63,1.8,"5,000+",Free,0.0,Everyone,Productivity,2016-09-27,2,3.0 and up,5000,False
4996,AE Jewels 2: Island Adventures,GAME,4.2,652,30.0,"10,000+",Free,0.0,Everyone,Action,2016-02-24,1,2.3 and up,10000,False
5000,AE Jewels,GAME,4.2,960,18.0,"50,000+",Free,0.0,Everyone,Action,2015-08-20,1,3.0 and up,50000,False
5002,AE Coin Mania : Arcade Fun,GAME,4.3,30002,29.0,"1,000,000+",Free,0.0,Teen,Casino,2018-02-08,2,4.0.3 and up,1000000,False
5003,AE Roundy POP,FAMILY,4.4,5262,26.0,"100,000+",Free,0.0,Everyone,Casual,2016-03-23,1,2.3 and up,100000,False
5004,Mupen64+AE FREE (N64 Emulator),GAME,4.0,41759,12.0,"1,000,000+",Free,0.0,Everyone,Arcade,2014-01-19,2,2.0 and up,1000000,False
5005,Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12.0,"100,000+",Paid,0.99,Everyone,Arcade,2014-01-19,2,2.0 and up,100000,False
5006,AE Lucky Fishing,GAME,4.3,18277,17.0,"1,000,000+",Free,0.0,Teen,Arcade,2016-03-14,2,2.3 and up,1000000,False
5007,AE Video Poker,GAME,4.0,721,18.0,"50,000+",Free,0.0,Teen,Casino,2015-12-31,1,2.3 and up,50000,False
5008,AE Solitaire,GAME,4.3,1776,26.0,"50,000+",Free,0.0,Everyone,Card,2018-01-04,2,4.0.3 and up,50000,False
5010,AE Blackjack,GAME,4.0,1417,17.0,"100,000+",Free,0.0,Teen,Card,2015-11-27,1,2.3 and up,100000,False
5011,AE Gun Ball: arcade ball games,GAME,3.7,8581,12.0,"1,000,000+",Free,0.0,Everyone,Arcade,2013-12-13,1,2.2 and up,1000000,False
5012,AE Order,TOOLS,4.1,19,0.317,"1,000+",Free,0.0,Everyone,Tools,2013-11-12,2,2.3 and up,1000,True
5013,TV.AE,FAMILY,3.9,109,7.5,"10,000+",Free,0.0,Everyone,Entertainment,2017-09-21,1,4.4 and up,10000,False
5015,AE Garage,AUTO_AND_VEHICLES,4.4,64,66.0,"1,000+",Free,0.0,Everyone,Auto & Vehicles,2017-06-27,1,4.1 and up,1000,False
5016,AE Bulletins,BOOKS_AND_REFERENCE,4.5,14,30.0,"1,000+",Free,0.0,Everyone,Books & Reference,2018-07-18,2,4.0.3 and up,1000,False
5018,AE 3D Moto 3,GAME,3.9,2588,26.0,"100,000+",Free,0.0,Everyone 10+,Racing,2014-12-31,1,2.3 and up,100000,False
5019,AE FreeCell,GAME,4.2,358,15.0,"10,000+",Free,0.0,Everyone,Card,2014-11-06,1,2.3 and up,10000,False
5020,AE City Jump,GAME,4.5,804,27.0,"10,000+",Free,0.0,Everyone,Action,2018-07-18,1,4.0 and up,10000,False
5021,AE Angry Chef,GAME,4.1,533,39.0,"10,000+",Free,0.0,Everyone 10+,Action,2014-01-24,1,2.1 and up,10000,False
5022,Ae Allah na Dai (Rasa),BOOKS_AND_REFERENCE,4.7,263,9.1,"10,000+",Free,0.0,Everyone,Books & Reference,2015-01-01,2,2.1 and up,10000,False
5024,FilmoraGo - Free Video Editor,VIDEO_PLAYERS,4.4,238459,35.0,"10,000,000+",Free,0.0,Everyone,Video Players & Editors,2018-06-06,3,4.2 and up,10000000,False
5025,Event Manager - AllEvents.in,EVENTS,4.7,120,5.1,"10,000+",Free,0.0,Everyone,Events,2018-07-25,2,4.0.3 and up,10000,False
5026,Nasihat - Chalo ae Pyaara,FAMILY,4.7,557,6.7,"10,000+",Free,0.0,Everyone,Education,2015-10-09,1,2.1 and up,10000,False
5027,AE Master Moto,GAME,4.0,17876,37.0,"1,000,000+",Free,0.0,Everyone,Racing,2015-12-10,1,2.3 and up,1000000,False
5028,Brica BPRO5 AE,PHOTOGRAPHY,3.9,4726,3.9,"500,000+",Free,0.0,Everyone,Photography,2015-06-17,v1,3.1 and up,500000,False
5030,AE Air Hockey,SPORTS,3.8,926,7.6,"50,000+",Free,0.0,Everyone,Sports,2013-08-01,1,2.2 and up,50000,False
5032,AE Fishing Hunter,GAME,4.4,14,6.6,"1,000+",Free,0.0,Everyone,Adventure,2016-03-15,0,3.0 and up,1000,False
5033,ActionDirector Video Editor - Edit Videos Fast,VIDEO_PLAYERS,4.5,74531,32.0,"5,000,000+",Free,0.0,Everyone,Video Players & Editors,2018-06-15,2,4.3 and up,5000000,False
5035,AE Checkout Plugin,SHOPPING,3.8,208,0.078,"10,000+",Free,0.0,Everyone,Shopping,2015-02-11,1,2.3 and up,10000,True
5036,NewTek NDI,PHOTOGRAPHY,3.5,77,1.2,"1,000+",Paid,19.99,Everyone,Photography,2016-10-26,1,4.1 and up,1000,False
5037,AfterFocus,PHOTOGRAPHY,4.2,165224,15.0,"10,000,000+",Free,0.0,Everyone,Photography,2016-07-08,2,4.0.3 and up,10000000,False
5038,AF Link,NEWS_AND_MAGAZINES,4.7,210,18.0,"10,000+",Free,0.0,Everyone,News & Magazines,2018-05-31,v4,4.4 and up,10000,False
5039,AF Hydro,HEALTH_AND_FITNESS,2.0,136,15.0,"10,000+",Free,0.0,Everyone,Health & Fitness,2018-05-12,1,4.4 and up,10000,False
5040,Gunship III Vietnam People AF,FAMILY,4.3,726,19.0,"5,000+",Paid,4.99,Everyone,Simulation,2016-12-09,3,2.3.3 and up,5000,False
5041,AF Comics Reader - Free,COMICS,2.8,5,4.1,100+,Free,0.0,Everyone,Comics,2017-11-10,1,4.1 and up,100,False
5042,Camera FV-5 Lite,PHOTOGRAPHY,4.0,130063,5.6,"10,000,000+",Free,0.0,Everyone,Photography,2017-11-10,3,4.0 and up,10000000,False
5043,Flim Af Somali Hindi Fanproj,FAMILY,3.9,12,3.5,"1,000+",Free,0.0,Everyone,Entertainment,2018-06-22,1,4.0 and up,1000,False
5044,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.2,4559,6.4,"100,000+",Free,0.0,Everyone,Medical,2018-07-27,117,3.0 and up,100000,False
5045,DSLR camera - Auto Focus and Blur Professional,PHOTOGRAPHY,3.4,30,3.0,"10,000+",Free,0.0,Everyone,Photography,2018-04-18,5,4.0.3 and up,10000,False
5046,AF-STROKE (FREE),MEDICAL,4.5,93,0.924,"10,000+",Free,0.0,Teen,Medical,2013-01-25,1,2.1 and up,10000,True
5047,Hesab.af - Send money in Afghanistan,FINANCE,4.7,51,11.0,"1,000+",Free,0.0,Everyone,Finance,2018-04-15,1,4.1 and up,1000,False
5048,AppFinder by AppTap,TOOLS,2.0,2221,4.9,"5,000,000+",Free,0.0,Everyone,Tools,2017-10-03,1,5.0 and up,5000000,False
5053,Bazar.af,SHOPPING,4.7,13,1.3,500+,Free,0.0,Everyone,Shopping,2017-07-07,cli-6,4.0 and up,500,False
5054,DSLR Blur Camera Auto Focus,TOOLS,3.3,75,4.7,"10,000+",Free,0.0,Everyone,Tools,2018-06-07,1,4.0.3 and up,10000,False
